Gender,Age,Type of Job,Weekly working hours,Income,Home country,Timepass,Fave Sports,Most visited websites,Most listened musics,Most watched movies,Most watched tv programmes,Most read books,Openness to Experience,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Number of countries visited,visits web in Automotive,visits web in Baby Products,visits web in Health & Beauty,visits web in Media,visits web in Consumer Electronics,visits web in Console & Video Games,visits web in Tools,visits web in Living,visits web in Grocery,visits web in Home,visits web in Betting,visits web in Jewellery & Watches,visits web in Musical Instruments,visits web in Office,visits web in Pet Supplies,visits web in Computer Software,visits web in Sports,visits web in Toys & Games,visits web in Dating,visits web in Clothing & Shoes,max star in Clothing & Shoes,max star in Automotive,max star in Baby Products,max star in Health & Beauty,max star in Media (BMVD),max star in Consumer Electronics,max star in Console & Video Games,max star in DIY & Tools,max star in Garden & Outdoor living,max star in Grocery,max star in Kitchen & Home,max star in Betting,max star in Jewellery & Watches,max star in Musical Instruments,max star in Office Products,max star in Pet Supplies,max star in Computer Software,max star in Sports & Outdoors,max star in Toys & Games,max star in Dating Sites,clicks Clothing & Shoes,clicks Automotive,clicks Baby Products,clicks Health & Beauty,clicks Media (BMVD),clicks Consumer Electronics,clicks Console & Video Games,clicks DIY & Tools,clicks Garden & Outdoor living,clicks Grocery,clicks Kitchen & Home,clicks Betting,clicks Jewellery & Watches,clicks Musical Instruments,clicks Office Products,clicks Pet Supplies,clicks Computer Software,clicks Sports & Outdoors,clicks Toys & Games,clicks Dating Sites,average star in Clothing & Shoes,average star in Automotive,average star in Baby Products,average star in Health & Beauty,average star in Media (BMVD),average star in Consumer Electronics,average star in Console & Video Games,average star in DIY & Tools,average star in Garden & Outdoor living,average star in Grocery,average star in Kitchen & Home,average star in Betting,average star in Jewellery & Watches,average star in Musical Instruments,average star in Office Products,average star in Pet Supplies,average star in Computer Software,average star in Sports & Outdoors,average star in Toys & Games,average star in Dating Sites
0,28,Temporary,1,2,United States of America,Internet,"Individual sports‎ (Tennis, Archery, ...), Indoor sports, Endurance sports, Skating sports",Media (BMVD),Dance Music,Thriller,Entertainment (Variety Shows),Romance,2,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2,2.1333333333333333,2.7333333333333334,2.6666666666666665,2.466666666666667,3.466666666666667,3.1333333333333333,1.8,2.3333333333333335,2.533333333333333,2.7333333333333334,1.6666666666666667,2.8,2.1333333333333333,2.466666666666667,1.8666666666666667,3.0,2.2,3.4,1.5333333333333334
1,24,Student,1,1,United Kingdom,Internet,I do not like Sports,"Grocery & beverages, Clothing & shoes, Health & Beauty",Rock,"Thriller, Epic - Historical, Sci-Fi, Fantasy, Animation","Comedy, Drama","Action and Adventure, Fantasy, Erotic fiction, Science, Cookbooks",-1,2,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,4,4,3,5,3,3,4,3,1,1,4,3,3,4,5,5,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1.3333333333333333,1.0666666666666667,1.0,2.0,1.8,1.5333333333333334,2.4,1.1333333333333333,1.8,1.7333333333333334,1.4,1.0,1.0,1.4,1.5333333333333334,1.6,1.4666666666666666,1.3333333333333333,2.0,1.0
0,18,Student,0,2,Slovenia,Internet,Endurance sports,"Computer software, Automotive","Rock, Electronic Music","Thriller, Comedy, Crime and Gangster",Drama,"Satire, Biographies",0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,1,3,4,5,3,4,3,3,2,1,4,3,4,3,3,4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2.2,2.2666666666666666,1.0,1.6,1.7333333333333334,2.6,1.2,1.6,1.4,1.4,1.2666666666666666,1.0,2.066666666666667,1.4666666666666666,2.0,1.6666666666666667,1.8666666666666667,1.7333333333333334,1.3333333333333333,1.0
0,20,Student,1,0,Saudi Arabia,Internet,"Individual sports‎ (Tennis, Archery, ...), Team sports (Footbal, Baseball, Rugby, ...) , Indoor sports",Sports & outdoor,Asian Pop (J-Pop or K-pop),Documentary,News,"Action and Adventure, Mystery, Religious, Science",0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,2,3,2,2,3,1,2,3,1,1,1,3,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2,1.1333333333333333,1.0,1.0666666666666667,1.1333333333333333,1.0666666666666667,1.0666666666666667,1.2666666666666666,1.0,1.0666666666666667,1.1333333333333333,1.0,1.0,1.0,1.2,1.0,1.2666666666666666,1.7333333333333334,1.0666666666666667,1.0
0,23,Student,1,2,United States of America,Sports,"Individual sports‎ (Tennis, Archery, ...), Team sports (Footbal, Baseball, Rugby, ...) , Precision sports‎ (Golf, Bowling, ...)","Clothing & shoes, Console & video games, Health & Beauty","Hip Hop - Rap, Asian Pop (J-Pop or K-pop)","Action, Adventure, Thriller, Comedy, Drama, Animation","Drama, Comedy, Entertainment (Variety Shows), Sport","Mystery, Guide, Comics, Fantasy",2,1,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,5,5,5,5,3,3,5,3,2,5,2,4,3,3,5,5,4,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,2.8666666666666667,2.066666666666667,1.3333333333333333,2.2,1.6666666666666667,2.8666666666666667,3.8666666666666667,1.3333333333333333,1.1333333333333333,2.7333333333333334,1.4666666666666666,1.2,2.066666666666667,1.4,1.8666666666666667,1.4,1.8,2.466666666666667,2.1333333333333333,1.6
1,22,Student,1,0,United Kingdom,Internet,"Nothing, I do not like Sports","Tools & hardware, Consumer electronics, Clothing & shoes, Grocery & beverages, Toys & games","Classical Music, Rock, Pop (Popular music)","Action, Adventure, Comedy, Sci-Fi","Comedy, News, Drama","Action and Adventure, Mystery, Science, Math, Cookbooks, Fantasy, Children's literature",1,-1,3,1,0,9,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,4,4,3,3,5,5,4,5,3,5,3,3,5,4,5,3,4,5,5,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,2.4,1.8,1.1333333333333333,1.5333333333333334,2.8,3.0,3.1333333333333333,3.3333333333333335,2.066666666666667,2.8,1.7333333333333334,1.8666666666666667,3.066666666666667,1.6666666666666667,2.933333333333333,1.4666666666666666,3.2,1.9333333333333333,2.6,1.0
1,20,Student,0,3,United States of America,Internet,I do not like Sports,"Grocery & beverages, Jewellery & watches, Stationery & office supplies, Toys & games","Dance Music, Easy Listening, Indie Pop, Asian Pop (J-Pop or K-pop), Pop (Popular music), Rock","Thriller, Comedy, Horror, Sci-Fi, Animation, Fantasy","Children's, Comedy, News, Learning","Action and Adventure, Mystery, Horror, Science, Comics, Cookbooks, Fantasy",0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,4,3,3,3,3,4,4,3,3,4,3,3,4,3,4,4,4,4,4,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.466666666666667,1.5333333333333334,1.4666666666666666,1.9333333333333333,2.466666666666667,2.0,2.4,1.5333333333333334,2.6,2.3333333333333335,2.1333333333333333,2.2,2.3333333333333335,1.9333333333333333,2.066666666666667,2.2,2.533333333333333,2.2666666666666666,2.4,1.9333333333333333
1,24,Student,1,0,Singapore,Internet,Other,"Media (BMVD), Health & Beauty","Singer - Songwriter (inc. Folk), European Music (Folk-Pop), Asian Pop (J-Pop or K-pop)","Documentary, Romance, Thriller","Drama, Entertainment (Variety Shows)",Religious,-1,1,2,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,3,2,1,4,2,2,2,1,2,3,4,3,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.2666666666666666,1.0,1.0,1.0666666666666667,1.2,1.4666666666666666,1.0,1.5333333333333334,1.2,1.1333333333333333,1.1333333333333333,1.0,1.0666666666666667,1.2666666666666666,1.4666666666666666,1.1333333333333333,1.2,1.3333333333333333,1.1333333333333333,1.0
0,55,Odd job,0,1,United States of America,Reading,"Individual sports‎ (Tennis, Archery, ...)","Media (BMVD), Tools & hardware, Computer software","Country Music, Easy Listening, Singer - Songwriter (inc. Folk)","Western, Sci-Fi, Epic - Historical, Mystery, Family, Documentary","Factual, Religion &amp; Ethics, News, Learning","Self help, Guide, Religious, Action and Adventure",2,1,-1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,2,4,3,3,2,2,3,3,4,3,4,3,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1.3333333333333333,1.6,1.2666666666666666,1.5333333333333334,2.1333333333333333,2.2,1.0666666666666667,2.6666666666666665,1.4,1.7333333333333334,1.3333333333333333,1.0666666666666667,1.5333333333333334,1.3333333333333333,2.2,1.3333333333333333,2.6,1.7333333333333334,2.1333333333333333,1.0666666666666667
0,22,Contract employment,1,1,United States of America,Internet,"Individual sports‎ (Tennis, Archery, ...), Team sports (Footbal, Baseball, Rugby, ...) , Indoor sports, Precision sports‎ (Golf, Bowling, ...), Water sports, I do not like Sports","Clothing & shoes, Health & Beauty, Consumer electronics, Grocery & beverages, Home stuffs","Asian Pop (J-Pop or K-pop), European Music (Folk-Pop), Pop (Popular music), Indie Pop, Hip Hop - Rap","Adventure, Action, Comedy, Family, Fantasy, Mystery","Comedy, Entertainment (Variety Shows), Learning, Drama, Factual, News","Erotic fiction, Satire, Prayer books",0,3,2,-2,0,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,4,3,4,3,3,2,4,4,3,4,1,2,4,3,4,3,4,4,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1.2666666666666666,1.2,1.1333333333333333,1.6666666666666667,1.6,1.6,1.0666666666666667,2.7333333333333334,2.533333333333333,1.2,1.5333333333333334,1.0,1.1333333333333333,1.6666666666666667,1.4666666666666666,1.2,2.066666666666667,1.6,1.4,1.0
1,28,Contract employment,1,3,United States of America,Sports,Endurance sports,"Clothing & shoes, Health & Beauty, Media (BMVD), Grocery & beverages, Sports & outdoor, Home stuffs","Alternative Music, Country Music, European Music (Folk-Pop), Pop (Popular music), Latin Music, Indie Pop, Easy Listening, Blues","Action, Adventure, Comedy, Crime and Gangster","Drama, Comedy, Entertainment (Variety Shows), Sport","Satire, Drama, Action and Adventure, Mystery, Children's literature, Religious",1,0,-2,0,1,9,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5,3,4,5,4,3,3,4,5,5,5,2,5,4,2,2,2,5,3,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,3.066666666666667,1.4666666666666666,1.2666666666666666,2.6,2.0,1.8,1.1333333333333333,2.4,2.6666666666666665,2.6666666666666665,2.8666666666666667,1.1333333333333333,3.3333333333333335,2.066666666666667,1.4,1.0666666666666667,1.2666666666666666,2.6,1.6,1.0
1,27,Temporary,0,1,United States of America,Movie,"Team sports (Footbal, Baseball, Rugby, ...) ",Clothing & shoes,Dance Music,Thriller,Drama,Drama,2,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,4,5,5,5,2,4,5,4,1,4,2,5,5,4,3,3,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,2.533333333333333,1.0666666666666667,1.0,3.1333333333333333,3.6,2.0,3.2666666666666666,1.1333333333333333,2.2666666666666666,2.1333333333333333,1.7333333333333334,1.0,1.6,1.2,2.466666666666667,3.6666666666666665,2.3333333333333335,1.4,1.1333333333333333,1.0
0,24,Student,1,1,United Kingdom,Reading,I do not like Sports,"Media (BMVD), Dating","Pop (Popular music), Classical Music, Rock, R&amp;B - Soul","Sci-Fi, Comedy, Horror, Crime and Gangster, Drama, Adventure, Action, Western, Musical","Comedy, Factual, Drama","Science fiction, Horror, Drama, Diaries",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,4,5,3,1,2,2,3,2,1,2,3,3,1,4,2,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.2,1.0,1.1333333333333333,1.6,2.7333333333333334,1.4,1.0,1.1333333333333333,1.1333333333333333,1.2,1.3333333333333333,1.0,1.1333333333333333,1.4,1.6,1.0,1.6,1.0666666666666667,1.3333333333333333,2.066666666666667
1,33,Contract employment,0,0,United States of America,Music,Equestrian sports‎,Musical instruments & recording equipment,"Rock, Classical Music, Pop (Popular music), Singer - Songwriter (inc. Folk)","Action, Adventure, Comedy, Drama, Sci-Fi, Epic - Historical, Mystery, Family","Comedy, Drama","Science fiction, Satire, Drama, Action and Adventure, Mystery, Travel, Religious, Prayer books, Trilogies",2,2,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,3,4,4,2,2,2,3,3,3,3,4,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2666666666666666,2.1333333333333333,1.9333333333333333,2.2,2.7333333333333334,2.3333333333333335,1.6,2.0,2.0,1.8666666666666667,2.2,1.3333333333333333,2.066666666666667,3.1333333333333333,2.2,2.0,2.533333333333333,2.6,1.9333333333333333,1.8
1,20,Student,0,1,United States of America,Reading,"Individual sports‎ (Tennis, Archery, ...)",Health & Beauty,"Dance Music, Alternative Music, Easy Listening, Pop (Popular music), Rock, Inspirational (incl. Gospel)","Adventure, Comedy, Drama, Family, Romance","Children's, Comedy, Drama, Learning","Romance, Guide, Travel, Religious",1,1,0,2,-1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,3,1,1,3,1,1,1,3,3,2,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,1.1333333333333333,1.0,1.4666666666666666,1.5333333333333334,1.2666666666666666,1.0,1.0,1.7333333333333334,1.0,1.0,1.0,1.3333333333333333,1.4666666666666666,1.0666666666666667,1.0,1.4666666666666666,1.2666666666666666,1.2666666666666666,1.0
0,25,Unemploied,0,1,United States of America,Reading,I do not like Sports,Media (BMVD),Pop (Popular music),"Fantasy, Drama","Drama, Children's","Fantasy, Children's literature, Science",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5,5,5,5,3,1,5,3,3,5,2,5,3,4,5,5,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1.4,1.0,1.6,1.8,2.6666666666666665,3.933333333333333,3.2666666666666666,1.2666666666666666,1.0,1.6666666666666667,1.3333333333333333,1.8,3.4,1.4666666666666666,2.0,1.2,2.2666666666666666,1.8666666666666667,3.066666666666667,1.0
0,19,Student,0,3,Canada,Sports,"Team sports (Footbal, Baseball, Rugby, ...) , Olympic sports‎, Endurance sports, Precision sports‎ (Golf, Bowling, ...)",Computer software,Classical Music,Comedy,Sport,Science,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,4,5,5,5,5,5,4,4,3,5,5,5,4,4,5,5,5,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2.2,2.2,1.6666666666666667,2.1333333333333333,2.8666666666666667,3.6,3.8,2.8,2.2,2.3333333333333335,2.3333333333333335,1.4666666666666666,3.533333333333333,2.6666666666666665,2.6666666666666665,1.9333333333333333,3.7333333333333334,3.2666666666666666,3.066666666666667,1.0666666666666667
0,31,Odd job,1,1,United States of America,Internet,"Team sports (Footbal, Baseball, Rugby, ...) , Endurance sports, Hunting sports","Toys & games, Media (BMVD), Consumer electronics","Hip Hop - Rap, Rock, Pop (Popular music)","Action, Family, Romance, Sci-Fi, Animation","Comedy, Drama, Music","Mystery, Biographies, Children's, Action and Adventure",2,2,0,0,-1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,2,5,5,1,2,1,5,5,5,1,4,1,2,5,1,2,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1.5333333333333334,1.0,1.1333333333333333,2.066666666666667,1.2666666666666666,1.0,1.0666666666666667,1.0,1.5333333333333334,1.6,1.6,1.0,1.2,1.0,1.0666666666666667,1.4,1.0,1.0666666666666667,1.0,1.0
0,25,Contract employment,1,0,United States of America,Internet,Olympic sports‎,Console & video games,Alternative Music,Sci-Fi,Comedy,Romance,0,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,3,4,2,2,5,2,1,5,4,4,1,4,4,5,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1.6666666666666667,1.4,1.1333333333333333,1.9333333333333333,2.533333333333333,1.6,2.533333333333333,1.2,1.0666666666666667,1.7333333333333334,1.4,1.0,2.4,1.6,2.1333333333333333,1.0,1.6666666666666667,1.7333333333333334,2.2,1.0
